year,series,question_number,correct_option
2018,A,18,D
2018,A,19,A
2018,A,20,B
2018,A,21,B
2018,A,22,B
2018,A,23,A
2018,A,24,B
2018,A,25,B
2018,A,26,D
2018,A,27,D
2018,A,28,A
2018,A,29,A
2018,A,30,A
2018,A,31,C
2018,A,32,A
2018,A,33,A
2018,A,34,C
2018,A,35,B
2018,A,36,B
2018,A,37,B
2018,A,38,B
2018,A,39,A
2018,A,40,B
2018,A,41,C
2018,A,42,D
2018,A,43,C
2018,A,44,B
2018,A,45,C
2018,A,46,B
2018,A,47,C
2018,A,48,C
2018,A,49,C
2018,A,50,D
2018,A,51,C
2018,A,52,C
2018,A,53,B
2018,A,54,A
2018,A,55,D
2018,A,56,C
2018,A,57,C
2018,A,58,C
2018,A,59,C
2018,A,60,D
2018,A,61,A
2018,A,62,D
2018,A,63,B
2018,A,64,B
2018,A,65,A
2018,A,66,B
2018,A,67,D
2018,A,68,D
2018,A,69,C
2018,A,70,D
2018,A,71,B
2018,A,72,D
2018,A,73,B
2018,A,74,C
2018,A,75,C
2018,A,76,D
2018,A,77,A
2018,A,78,C
2018,A,79,A
2018,A,80,B
2018,A,81,B
2018,A,82,B
2018,A,83,B
2018,A,84,D
2018,A,85,A
2018,A,86,B
2018,A,87,D
2018,A,88,C
2018,A,89,B
2018,A,90,C
2018,A,91,B
2018,A,92,C
2018,A,93,B
2018,A,94,A
2018,A,95,A
2018,A,96,B
2018,A,97,C
2018,A,98,A
2018,A,99,D
2018,A,100,B
2019,A,1,D
2019,A,2,B
2019,A,3,C
2019,A,4,A
2019,A,5,C
2019,A,6,D
2019,A,7,C
2019,A,8,A
2019,A,9,D
2019,A,10,A
2019,A,11,D
2019,A,12,A
2019,A,13,D
2019,A,14,B
2019,A,15,D
2019,A,16,A
2019,A,17,C
2019,A,18,D
2019,A,19,C
2019,A,20,A
2019,A,21,A
2019,A,22,A
2019,A,23,A
2019,A,24,B
2019,A,25,D
2019,A,26,D
2019,A,27,A
2019,A,28,D
2019,A,29,C
2019,A,30,A
2019,A,31,D
2019,A,32,D
2019,A,33,C
2019,A,34,D
2019,A,35,D
2019,A,36,B
2019,A,37,B
2019,A,38,A
2019,A,39,A
2019,A,40,C
2019,A,41,D
2019,A,42,D
2019,A,43,B
2019,A,44,B
2019,A,45,B
2019,A,46,C
2019,A,47,A
2019,A,48,A
2019,A,49,A
2019,A,50,B
2019,A,51,C
2019,A,52,C
2019,A,53,C
2019,A,54,C
2019,A,55,B
2019,A,56,B
2019,A,57,C
2019,A,58,B
2019,A,59,C
2019,A,60,C
2019,A,61,B
2019,A,62,A
2019,A,63,D
2019,A,64,B
2019,A,65,B
2019,A,66,C
2019,A,67,D
2019,A,68,A
2019,A,69,A
2019,A,70,A
2019,A,71,A
2019,A,72,D
2019,A,73,A
2019,A,74,B
2019,A,75,D
2019,A,76,C
2019,A,77,A
2019,A,78,C
2019,A,79,C
2019,A,80,D
2019,A,81,D
2019,A,82,A
2019,A,83,A
2019,A,84,D
2019,A,85,D
2019,A,86,D
2019,A,87,A
2019,A,88,C
2019,A,89,B
2019,A,90,B
2019,A,91,B
2019,A,92,B
2019,A,93,A
2019,A,94,C
2019,A,95,D
2019,A,96,A
2019,A,97,B
2019,A,98,B
2019,A,99,A
2019,A,100,B
2020,A,1,B
2020,A,2,B
2020,A,3,D
2020,A,4,D
2020,A,5,B
2020,A,6,D
2020,A,7,D
2020,A,8,D
2020,A,9,A
2020,A,10,C
2020,A,11,B
2020,A,12,A
2020,A,13,D
2020,A,14,A
2020,A,15,D
2020,A,16,D
2020,A,17,D
2020,A,18,D
2020,A,19,D
2020,A,20,C
2020,A,21,B
2020,A,22,B
2020,A,23,A
2020,A,24,C
2020,A,25,C
2020,A,26,A
2020,A,27,X
2020,A,28,A
2020,A,29,A
2020,A,30,A
2020,A,31,C
2020,A,32,B
2020,A,33,B
2020,A,34,D
2020,A,35,D
2020,A,36,C
2020,A,37,D
2020,A,38,B
2020,A,39,C
2020,A,40,D
2020,A,41,C
2020,A,42,D
2020,A,43,D
2020,A,44,D
2020,A,45,B
2020,A,46,A
2020,A,47,C
2020,A,48,A
2020,A,49,A
2020,A,50,D
2020,A,51,B
2020,A,52,X
2020,A,53,A
2020,A,54,D
2020,A,55,B
2020,A,56,C
2020,A,57,B
2020,A,58,B
2020,A,59,B
2020,A,60,B
2020,A,61,C
2020,A,62,A
2020,A,63,D
2020,A,64,B
2020,A,65,A
2020,A,66,B
2020,A,67,A
2020,A,68,C
2020,A,69,D
2020,A,70,C
2020,A,71,B
2020,A,72,A
2020,A,73,C
2020,A,74,A
2020,A,75,A
2020,A,76,D
2020,A,77,A
2020,A,78,A
2020,A,79,D
2020,A,80,D
2020,A,81,A
2020,A,82,A
2020,A,83,D
2020,A,84,A
2020,A,85,A
2020,A,86,A
2020,A,87,A
2020,A,88,D
2020,A,89,C
2020,A,90,A
2020,A,91,C
2020,A,92,D
2020,A,93,B
2020,A,94,B
2020,A,95,C
2020,A,96,D
2020,A,97,A
2020,A,98,B
2020,A,99,C
2020,A,100,C
2021,A,1,C
2021,A,2,B
2021,A,3,B
2021,A,4,A
2021,A,5,B
2021,A,6,D
2021,A,7,A
2021,A,8,A
2021,A,9,D
2021,A,10,D
2021,A,11,C
2021,A,12,A
2021,A,13,B
2021,A,14,C
2021,A,15,B
2021,A,16,A
2021,A,17,B
2021,A,18,D
2021,A,19,A
2021,A,20,C
2021,A,21,C
2021,A,22,B
2021,A,23,D
2021,A,24,A
2021,A,25,B
2021,A,26,C
2021,A,27,C
2021,A,28,C
2021,A,29,A
2021,A,30,D
2021,A,31,C
2021,A,32,A
2021,A,33,A
2021,A,34,B
2021,A,35,D
2021,A,36,C
2021,A,37,D
2021,A,38,A
2021,A,39,C
2021,A,40,B
2021,A,41,B
2021,A,42,B
2021,A,43,A
2021,A,44,C
2021,A,45,A
2021,A,46,C
2021,A,47,D
2021,A,48,B
2021,A,49,A
2021,A,50,B
2021,A,51,B
2021,A,52,B
2021,A,53,D
2021,A,54,D
2021,A,55,B
2021,A,56,B
2021,A,57,A
2021,A,58,C
2021,A,59,D
2021,A,60,D
2021,A,61,C
2021,A,62,B
2021,A,63,B
2021,A,64,B
2021,A,65,C
2021,A,66,C
2021,A,67,B
2021,A,68,C
2021,A,69,A
2021,A,70,B
2021,A,71,A
2021,A,72,C
2021,A,73,D
2021,A,74,B
2021,A,75,D
2021,A,76,D
2021,A,77,C
2021,A,78,B
2021,A,79,C
2021,A,80,X
2021,A,81,D
2021,A,82,B
2021,A,83,B
2021,A,84,D
2021,A,85,A
2021,A,86,A
2021,A,87,A
2021,A,88,A
2021,A,89,A
2021,A,90,D
2021,A,91,B
2021,A,92,B
2021,A,93,B
2021,A,94,D
2021,A,95,D
2021,A,96,D
2021,A,97,D
2021,A,98,C
2021,A,99,B
2021,A,100,D
2022,A,1,B
2022,A,2,C
2022,A,3,B
2022,A,4,C
2022,A,5,A
2022,A,6,D
2022,A,7,A
2022,A,8,D
2022,A,9,A
2022,A,10,C
2022,A,11,B
2022,A,12,B
2022,A,13,B
2022,A,14,B
2022,A,15,B
2022,A,16,B
2022,A,17,D
2022,A,18,D
2022,A,19,B
2022,A,20,A
2022,A,21,B
2022,A,22,D
2022,A,23,B
2022,A,24,C
2022,A,25,B
2022,A,26,A
2022,A,27,C
2022,A,28,B
2022,A,29,B
2022,A,30,B
2022,A,31,D
2022,A,32,D
2022,A,33,D
2022,A,34,C
2022,A,35,B
2022,A,36,D
2022,A,37,D
2022,A,38,C
2022,A,39,B
2022,A,40,C
2022,A,41,A
2022,A,42,B
2022,A,43,D
2022,A,44,B
2022,A,45,C
2022,A,46,A
2022,A,47,A
2022,A,48,A
2022,A,49,A
2022,A,50,C
2022,A,51,C
2022,A,52,B
2022,A,53,D
2022,A,54,B
2022,A,55,B
2022,A,56,C
2022,A,57,B
2022,A,58,D
2022,A,59,B
2022,A,60,B
2022,A,61,X
2022,A,62,D
2022,A,63,B
2022,A,64,B
2022,A,65,C
2022,A,66,D
2022,A,67,C
2022,A,68,D
2022,A,69,A
2022,A,70,C
2022,A,71,C
2022,A,72,A
2022,A,73,A
2022,A,74,D
2022,A,75,C
2022,A,76,A
2022,A,77,A
2022,A,78,D
2022,A,79,D
2022,A,80,A
2022,A,81,D
2022,A,82,C
2022,A,83,C
2022,A,84,B
2022,A,85,D
2022,A,86,B
2022,A,87,C
2022,A,88,B
2022,A,89,B
2022,A,90,A
2022,A,91,B
2022,A,92,B
2022,A,93,B
2022,A,94,A
2022,A,95,A
2022,A,96,A
2022,A,97,D
2022,A,98,D
2022,A,99,D
2022,A,100,B
2023,A,1,A
2023,A,2,B
2023,A,3,B
2023,A,4,A
2023,A,5,D
2023,A,6,D
2023,A,7,C
2023,A,8,A
2023,A,9,D
2023,A,10,D
2023,A,11,C
2023,A,12,C
2023,A,13,A
2023,A,14,A
2023,A,15,C
2023,A,16,D
2023,A,17,B
2023,A,18,C
2023,A,19,B
2023,A,20,C
2023,A,21,A
2023,A,22,A
2023,A,23,B
2023,A,24,A
2023,A,25,B
2023,A,26,B
2023,A,27,C
2023,A,28,C
2023,A,29,B
2023,A,30,C
2023,A,31,A
2023,A,32,A
2023,A,33,C
2023,A,34,X
2023,A,35,A
2023,A,36,D
2023,A,37,B
2023,A,38,B
2023,A,39,B
2023,A,40,C
2023,A,41,A
2023,A,42,B
2023,A,43,B
2023,A,44,D
2023,A,45,D
2023,A,46,B
2023,A,47,B
2023,A,48,A
2023,A,49,C
2023,A,50,D
2023,A,51,B
2023,A,52,C
2023,A,53,A
2023,A,54,C
2023,A,55,B
2023,A,56,A
2023,A,57,D
2023,A,58,D
2023,A,59,B
2023,A,60,C
2023,A,61,A
2023,A,62,C
2023,A,63,D
2023,A,64,D
2023,A,65,C
2023,A,66,D
2023,A,67,A
2023,A,68,C
2023,A,69,A
2023,A,70,A
2023,A,71,B
2023,A,72,C
2023,A,73,D
2023,A,74,B
2023,A,75,B
2023,A,76,C
2023,A,77,B
2023,A,78,D
2023,A,79,C
2023,A,80,A
2023,A,81,A
2023,A,82,B
2023,A,83,A
2023,A,84,D
2023,A,85,C
2023,A,86,C
2023,A,87,C
2023,A,88,D
2023,A,89,A
2023,A,90,D
2023,A,91,B
2023,A,92,B
2023,A,93,D
2023,A,94,C
2023,A,95,B
2023,A,96,B
2023,A,97,D
2023,A,98,D
2023,A,99,C
2023,A,100,C
2024,A,1,D
2024,A,2,A
2024,A,3,D
2024,A,4,A
2024,A,5,C
2024,A,6,B
2024,A,7,A
2024,A,8,B
2024,A,9,A
2024,A,10,B
2024,A,11,A
2024,A,12,A
2024,A,13,D
2024,A,14,C
2024,A,15,D
2024,A,16,B
2024,A,17,D
2024,A,18,B
2024,A,19,C
2024,A,20,X
2024,A,21,C
2024,A,22,A
2024,A,23,D
2024,A,24,A
2024,A,25,A
2024,A,26,A
2024,A,27,D
2024,A,28,A
2024,A,29,C
2024,A,30,A
2024,A,31,B
2024,A,32,D
2024,A,33,A
2024,A,34,B
2024,A,35,D
2024,A,36,A
2024,A,37,D
2024,A,38,C
2024,A,39,D
2024,A,40,C
2024,A,41,D
2024,A,42,C
2024,A,43,D
2024,A,44,D
2024,A,45,B
2024,A,46,C
2024,A,47,B
2024,A,48,C
2024,A,49,D
2024,A,50,A
2024,A,51,A
2024,A,52,X
2024,A,53,D
2024,A,54,B
2024,A,55,B
2024,A,56,A
2024,A,57,X
2024,A,58,B
2024,A,59,A
2024,A,60,C
2024,A,61,D
2024,A,62,A
2024,A,63,C
2024,A,64,C
2024,A,65,B
2024,A,66,D
2024,A,67,A
2024,A,68,C
2024,A,69,D
2024,A,70,A
2024,A,71,D
2024,A,72,A
2024,A,73,B
2024,A,74,D
2024,A,75,C
2024,A,76,D
2024,A,77,D
2024,A,78,C
2024,A,79,A
2024,A,80,C
2024,A,81,C
2024,A,82,D
2024,A,83,C
2024,A,84,B
2024,A,85,C
2024,A,86,D
2024,A,87,B
2024,A,88,A
2024,A,89,C
2024,A,90,D
2024,A,91,A
2024,A,92,D
2024,A,93,A
2024,A,94,B
2024,A,95,C
2024,A,96,C
2024,A,97,D
2024,A,98,D
2024,A,99,B
2024,A,100,B
